last_window_sale_amount,shop_code,class_code,date,time,total_sale_amount,last_hour_sale_amount,total_pass_rate,last_hour_pass_rate,rest_inventory,prom,discount,
26.72,100001001,0401,2018-06-14,22,56,4,0.961687951,0.021654636,12,1,4.9,
7.12,100001001,0401,2018-06-14,23,58,2,0.98667407,0.024986119,9,1,2.9,
86.99,100001001,0401,2018-06-15,13,25,10,0.637920489,0.17675841,35,1,6.9,
36.18,100001001,0401,2018-06-15,14,29,4,0.716207951,0.078287462,31,1,6.9,
47,100001001,0401,2018-06-15,15,36,7,0.754740061,0.03853211,24,1,6.9,
46.88,100001001,0401,2018-06-15,16,44,8,0.780428135,0.025688073,10,1,6.9,
0,100001001,0401,2018-06-15,17,44,0,0.803058104,0.022629969,10,1,6.9,
0,100001001,0401,2018-06-15,18,44,0,0.840366972,0.037308869,10,1,5.9,
19.5,100001001,0401,2018-06-15,19,47,3,0.881957187,0.041590214,7,1,4.9,
10.68,100001001,0401,2018-06-15,20,50,3,0.914984709,0.033027523,4,1,4.9,
13.21,100001001,0401,2018-06-15,21,53,3,0.943119266,0.028134557,1,1,5.9,
0,100001001,0401,2018-06-15,22,53,0,0.96941896,0.026299694,1,1,5.9,
0,100001001,0401,2018-06-15,23,53,0,0.989602446,0.020183486,1,1,2.9,
286.93,100001001,0401,2018-06-19,13,37,31,0.618099032,0.203187251,31,0,,
76.92,100001001,0401,2018-06-19,14,47,10,0.698349459,0.080250427,22,0,,
41.47,100001001,0401,2018-06-19,15,51,4,0.735913489,0.03756403,18,0,,
24.9,100001001,0401,2018-06-19,16,54,3,0.758679567,0.022766079,15,0,,
19.42,100001001,0401,2018-06-19,17,56,2,0.795674445,0.036994878,13,0,,
0,100001001,0401,2018-06-19,18,56,0,0.828685259,0.033010814,13,1,6.9,
7.37,100001001,0401,2018-06-19,19,57,1,0.880478088,0.051792829,12,1,6.9,
21.96,100001001,0401,2018-06-19,20,62,5,0.918611269,0.038133182,7,1,6.9,
3.92,100001001,0401,2018-06-19,21,63,1,0.946499715,0.027888446,6,0,,
8.8,100001001,0401,2018-06-19,22,64,1,0.965850882,0.019351167,5,1,6.9,
3.92,100001001,0401,2018-06-19,23,65,1,0.985771201,0.019920319,4,1,2.9,
152.08,100001001,0401,2018-06-20,13,30,17,0.628650138,0.184022039,41,0,,
57.96,100001001,0401,2018-06-20,14,37,7,0.703030303,0.074380165,35,0,,
50.41,100001001,0401,2018-06-20,15,43,6,0.747107438,0.044077135,29,0,,
0,100001001,0401,2018-06-20,16,43,0,0.770798898,0.02369146,29,0,,
0,100001001,0401,2018-06-20,17,43,0,0.8,0.029201102,29,1,6.9,
0,100001001,0401,2018-06-20,18,43,0,0.839118457,0.039118457,29,1,6.9,
34.97,100001001,0401,2018-06-20,19,49,6,0.873829201,0.034710744,23,1,5.9,
24.84,100001001,0401,2018-06-20,20,54,5,0.909641873,0.035812672,17,1,4.9,
11.25,100001001,0401,2018-06-20,21,57,3,0.936639118,0.026997245,15,1,4.9,
25.58,100001001,0401,2018-06-20,22,62,5,0.962534435,0.025895317,10,1,5.9,
4.87,100001001,0401,2018-06-20,23,63,1,0.987327824,0.024793388,9,1,2.9,
142.51,100001001,0401,2018-06-21,13,29,17,0.613599568,0.170534269,44,0,,
75.27,100001001,0401,2018-06-21,14,39,10,0.700485699,0.086886131,33,0,,
62.86,100001001,0401,2018-06-21,15,47,8,0.742039935,0.041554236,26,0,,
8.33,100001001,0401,2018-06-21,16,48,1,0.771721533,0.029681597,25,0,,
26.77,100001001,0401,2018-06-21,17,51,3,0.806260119,0.034538586,22,1,7.9,
19.31,100001001,0401,2018-06-21,18,53,2,0.839179709,0.03291959,20,1,7.9,
0,100001001,0401,2018-06-21,19,53,0,0.878575283,0.039395575,20,1,5.9,
18.95,100001001,0401,2018-06-21,20,57,4,0.908256881,0.029681597,16,1,4.9,
0,100001001,0401,2018-06-21,21,57,0,0.935240151,0.02698327,16,1,4.9,
10.86,100001001,0401,2018-06-21,22,60,3,0.963302752,0.028062601,13,1,4.9,
19.62,100001001,0401,2018-06-21,23,63,3,0.985968699,0.022665947,10,1,2.9,
124.96,100001001,0401,2018-06-22,13,28,14,0.641316686,0.178206583,39,0,,
23.46,100001001,0401,2018-06-22,14,31,3,0.708286039,0.066969353,36,0,,
34.02,100001001,0401,2018-06-22,15,35,4,0.745743473,0.037457435,32,0,,
